key:0, value:0.47992647180458387
key:1, value:0.009545591336720859
key:2, value:0.07590103962757973
key:3, value:0.02632280710102492
key:4, value:0.24495458643916063
key:5, value:0.239737011045572
key:6, value:0.0021724418033956497
key:7, value:0.003648801192800758
key:8, value:0.005769406963697596
key:9, value:0.005615084496815957
key:10, value:0.004165802423128544
key:11, value:0.0028256768396350577
key:12, value:0.0034389379018943413
key:13, value:0.2858883371651646
key:14, value:0.27491328528881603
key:15, value:0.0019655971241658394
key:16, value:0.002727485526725575
key:17, value:0.003892942036156113
key:18, value:0.6984462707669338
key:19, value:0.003900324122379282
key:20, value:0.003146724610163614
key:21, value:0.0027129875567735314
key:22, value:0.002493776403711345
key:23, value:0.0017031978644936933
key:24, value:0.0030867638799703975
key:25, value:0.005898313355684636
key:26, value:0.008400372847233113
key:27, value:0.007799634375194989
key:28, value:0.004118014232674338
key:29, value:0.004300599188149155
key:30, value:0.001932705851938873
key:31, value:0.0009715565394853639
key:32, value:0.001966034207987749
key:33, value:0.001080615016285797
key:34, value:0.0040615191576706495
key:35, value:0.00932346390351135
key:36, value:0.009958095733039435
key:37, value:0.007387860210824069
key:38, value:0.0050112087352691004
key:39, value:0.006098799201768107
key:40, value:0.5070099002186889
key:41, value:0.48754614730068263
key:42, value:0.0034858966674730673
key:43, value:0.004837070929389256
key:44, value:0.006903954784865399
key:45, value:0.0045980043947612455
key:46, value:0.006559017101380884
key:47, value:0.006970443674454983
key:48, value:0.006505822610839648
key:49, value:0.5075923080439468
key:50, value:0.4958282789478248
key:51, value:0.004645466753964783
key:52, value:0.005120297418409581
key:53, value:0.008093882442600488
key:54, value:0.01383229510347343
key:55, value:0.007303110039081942
key:56, value:0.007626916113071029
key:57, value:0.0034275654993840884
key:58, value:0.0017230111204456322
key:59, value:0.003486671815655505
key:60, value:0.001916421344832104
key:61, value:0.007202918605515628
key:62, value:0.01653473712948592
key:63, value:0.013197505474143561
key:64, value:0.010175075003494608
key:65, value:0.005654438961987864
key:66, value:0.006606731239966751
key:67, value:0.005241731098950135
key:68, value:0.0033079534926543685
key:69, value:0.0036698667626220314
key:70, value:0.00492240655254107
key:71, value:0.009398141788889274
key:72, value:0.004142398905648603
key:73, value:0.005909099454938967
key:74, value:0.006279758732254729
key:75, value:0.005861175881908977
key:76, value:0.45729617478238094
key:77, value:0.44669781578356904
key:78, value:0.00418515833081319
key:79, value:0.004612939136548297
key:80, value:0.007291878583430034
key:81, value:0.22485155258494707
key:82, value:0.01974296543874957
key:83, value:0.0009726064749626203
key:84, value:0.0007128749974825804
key:85, value:0.5745791894093772
key:86, value:0.36593908920289536
key:87, value:0.004182332948368791
key:88, value:0.003134955095392167
key:89, value:0.01112212272166056
key:90, value:0.011889795559062853
key:91, value:0.00916685064663953
key:92, value:0.005094153845281743
key:93, value:0.005952085711256437
key:94, value:0.004722340238024668
key:95, value:0.002980176126738883
key:96, value:0.0033062282582161525
key:97, value:0.00443465681321134
key:98, value:0.008466901925057174
key:99, value:0.2730219528451722
key:100, value:0.030890637255781374
