key:0, value:0.045804867031788155
key:1, value:0.028725086104680705
key:2, value:0.004968663542431258
key:3, value:0.004785161763875558
key:4, value:0.0019479419569758906
key:5, value:0.003980577042515951
key:6, value:0.0023996386426514593
key:7, value:0.005109818756704873
key:8, value:0.016868048105697024
key:9, value:0.003909999435379143
key:10, value:0.006422562249449495
key:11, value:0.0013974366213087913
key:12, value:0.00776353678504884
key:13, value:0.007114222799390209
key:14, value:0.012703969284625374
key:15, value:0.013268590141719836
key:16, value:0.004178194342499012
key:17, value:0.0029924905426006437
key:18, value:0.0017503246569928292
key:19, value:0.0012421658856078144
key:20, value:0.0009175088927784993
key:21, value:0.001609169442719214
key:22, value:0.0015385918355824064
key:23, value:0.002202021342668398
key:24, value:0.006366100163740049
key:25, value:0.001340974535599345
key:26, value:0.00304895262831009
key:27, value:0.0006069674213765457
key:28, value:0.0035288803568403818
key:29, value:0.004291118513917904
key:30, value:0.006690757156569364
key:31, value:0.008116424820732878
key:32, value:0.034272486025633785
key:33, value:0.00591440347806448
key:34, value:0.004686353113884027
key:35, value:0.002230252385523121
key:36, value:0.0006493139856586302
key:37, value:0.0017503246569928292
key:38, value:0.0007763536785048839
key:39, value:0.0026113714640618826
key:40, value:0.006690757156569364
key:41, value:0.0016232849641465755
key:42, value:0.0026960645926260517
key:43, value:0.0006775450285133532
key:44, value:0.0020185195641126983
key:45, value:0.0026113714640618826
key:46, value:0.003641804528259274
key:47, value:0.004982779063858619
key:48, value:0.0015385918355824064
key:49, value:0.001101010671334199
key:50, value:0.0009175088927784993
key:51, value:0.0006634295070859918
key:52, value:0.0002117328214104229
key:53, value:0.000536389814239738
key:54, value:0.0005787363785218226
key:55, value:0.0009175088927784993
key:56, value:0.0017220936141381063
key:57, value:0.00028231042854723055
key:58, value:0.0009175088927784993
key:59, value:0.00014115521427361528
key:60, value:0.0011857037998983682
key:61, value:0.0011998193213257297
key:62, value:0.002978375021173282
key:63, value:0.003133645756874259
key:64, value:0.0019479419569758906
key:65, value:0.0012280503641804528
key:66, value:0.0008610468070690532
key:67, value:0.00029642594997459205
key:68, value:0.00014115521427361528
key:69, value:0.0006634295070859918
key:70, value:0.0003670035571113997
key:71, value:0.00083281576421433
key:72, value:0.0020749816498221445
key:73, value:0.0004375811642482073
key:74, value:0.0007763536785048839
key:75, value:0.0003387725142566766
key:76, value:0.0006634295070859918
key:77, value:0.0009316244142058607
key:78, value:0.0013692055784540681
key:79, value:0.0019338264355485291
key:80, value:0.00203263508554006
key:81, value:0.001072779628479476
key:82, value:0.000804584721359607
key:83, value:0.0005646208570944611
key:84, value:0.00038111907853876124
key:85, value:0.0007904691999322455
key:86, value:0.0006775450285133532
key:87, value:0.0009880864999153068
key:88, value:0.002597255942634521
key:89, value:0.000508158771385015
key:90, value:0.001101010671334199
key:91, value:0.00018350177855569984
key:92, value:0.0013974366213087913
key:93, value:0.0019197109141211677
key:94, value:0.002230252385523121
key:95, value:0.002625486985489244
key:96, value:0.019154762576929593
key:97, value:0.003909999435379143
key:98, value:0.004982779063858619
key:99, value:0.001284512449889899
key:100, value:0.0005928518999491841
key:101, value:0.0012703969284625373
key:102, value:0.0014680142284455987
key:103, value:0.001820902264129637
key:104, value:0.0026960645926260517
key:105, value:0.000536389814239738
key:106, value:0.0009457399356332223
key:107, value:0.0003528880356840382
key:108, value:0.0009880864999153068
key:109, value:0.0009739709784879453
key:110, value:0.002413754164078821
key:111, value:0.001820902264129637
key:112, value:0.006224944949466433
key:113, value:0.003966461521088589
key:114, value:0.0024278696855061827
key:115, value:0.0019761729998306137
key:116, value:0.0005505053356670995
key:117, value:0.0018773643498390831
key:118, value:0.001524476314155045
key:119, value:0.002766642199762859
key:120, value:0.006126136299474902
key:121, value:0.0015527073570097678
key:122, value:0.002780757721190221
key:123, value:0.001101010671334199
key:124, value:0.0030348371068827282
key:125, value:0.0038253063068149737
key:126, value:0.010614872113375869
key:127, value:0.007382417706510078
key:128, value:0.002230252385523121
key:129, value:0.008116424820732878
key:130, value:0.001072779628479476
key:131, value:0.003401840663994128
key:132, value:0.0001693862571283383
key:133, value:0.0021596747783863136
key:134, value:0.0005928518999491841
key:135, value:0.004192309863926373
key:136, value:0.0015668228784371295
key:137, value:0.0017079780927107447
key:138, value:0.001044548585624753
key:139, value:0.0014538987070182373
key:140, value:0.0008187002427869686
key:141, value:0.0038394218282423354
key:142, value:0.0017503246569928292
key:143, value:0.009739709784879454
key:144, value:0.0007198915927954379
key:145, value:0.0025407938569250747
key:146, value:0.0004234656428208458
key:147, value:0.0012703969284625373
key:148, value:0.0001693862571283383
key:149, value:0.0014821297498729604
key:150, value:0.00038111907853876124
key:151, value:0.003133645756874259
key:152, value:0.00083281576421433
key:153, value:0.0016938625712833832
key:154, value:0.0005505053356670995
key:155, value:0.001284512449889899
key:156, value:0.0005505053356670995
key:157, value:0.004926316978149173
key:158, value:0.001284512449889899
key:159, value:0.01692451019140647
key:160, value:0.001792671221274914
key:161, value:0.00369826661396872
key:162, value:0.00083281576421433
key:163, value:0.0026113714640618826
key:164, value:0.00012703969284625375
key:165, value:0.0021879058212410365
key:166, value:0.00019761729998306137
key:167, value:0.003797075263960251
key:168, value:0.001340974535599345
key:169, value:0.0014962452713003218
key:170, value:0.0008610468070690532
key:171, value:0.0012139348427530913
key:172, value:0.0004940432499576534
key:173, value:0.002484331771215629
key:174, value:0.0009316244142058607
key:175, value:0.005448591270961549
key:176, value:0.0003670035571113997
key:177, value:0.0006775450285133532
key:178, value:0.00018350177855569984
key:179, value:0.0007904691999322455
key:180, value:1.4115521427361527e-05
key:181, value:0.0004093501213934843
key:182, value:0.00019761729998306137
key:183, value:0.001101010671334199
key:184, value:0.00019761729998306137
key:185, value:0.00029642594997459205
key:186, value:8.469312856416915e-05
key:187, value:0.0002117328214104229
key:188, value:0.00012703969284625375
key:189, value:0.0009598554570605838
key:190, value:0.0005505053356670995
key:191, value:0.0029077974140364745
key:192, value:0.0016797470498560218
key:193, value:0.004234656428208458
key:194, value:0.0007057760713680764
key:195, value:0.0027525266783354975
key:196, value:0.00014115521427361528
key:197, value:0.0015950539212918526
key:198, value:0.00028231042854723055
key:199, value:0.0036276890068319126
key:200, value:0.001580938399864491
